property_id,analytic_type_id,value
1,1,17
2,1,21
3,1,29
4,1,16
5,1,17
6,1,15
7,1,21
8,1,10
9,1,14
10,1,24
11,1,26
12,1,12
13,1,22
14,1,22
15,1,34
16,1,10
17,1,34
18,1,34
19,1,17
20,1,28
21,1,11
22,1,22
23,1,30
24,1,11
25,1,35
26,1,11
27,1,37
28,1,13
29,1,38
30,1,29
31,1,34
32,1,28
33,1,17
34,1,11
35,1,12
36,1,20
37,1,39
38,1,17
39,1,35
40,1,28
41,1,31
42,1,19
43,1,13
44,1,25
45,1,39
46,1,22
47,1,17
48,1,17
49,1,27
50,1,25
51,1,39
52,1,20
53,1,23
54,1,15
55,1,39
56,1,27
57,1,36
58,1,31
59,1,17
60,1,33
61,1,14
62,1,13
63,1,26
64,1,10
65,1,34
66,1,23
67,1,16
68,1,18
69,1,15
70,1,18
71,1,18
72,1,23
73,1,36
74,1,34
75,1,23
76,1,29
77,1,32
78,1,33
79,1,36
80,1,37
81,1,22
82,1,12
83,1,16
84,1,9
85,1,9
86,1,20
87,1,14
88,1,15
89,1,17
90,1,15
91,1,10
92,1,22
93,1,21
94,1,16
95,1,11
96,1,33
97,1,36
98,1,34
99,1,13
100,1,33
2,2,340
3,2,823
4,2,821
6,2,1095
8,2,1101
9,2,970
10,2,1049
12,2,184
14,2,192
15,2,939
16,2,745
18,2,749
20,2,428
21,2,277
22,2,1103
24,2,544
26,2,778
27,2,234
28,2,395
30,2,784
32,2,247
33,2,959
34,2,738
36,2,559
38,2,599
39,2,383
40,2,282
42,2,309
44,2,410
45,2,190
46,2,594
48,2,228
50,2,284
51,2,758
52,2,503
54,2,672
56,2,714
57,2,896
58,2,801
60,2,1067
62,2,1016
63,2,918
64,2,535
66,2,970
68,2,1004
69,2,238
70,2,296
72,2,663
74,2,1034
75,2,318
76,2,301
78,2,779
80,2,225
81,2,839
82,2,349
84,2,567
86,2,430
87,2,626
88,2,812
90,2,960
92,2,815
93,2,1078
94,2,605
96,2,313
98,2,716
99,2,426
100,2,577
2,3,1.270018421
4,3,3.025543904
6,3,2.636676918
8,3,3.346387614
10,3,2.859468744
12,3,1.074558188
14,3,2.932338841
16,3,2.087584363
18,3,3.408517083
20,3,0.861759136
22,3,1.541525117
24,3,3.298127054
26,3,1.226399995
28,3,1.865379565
30,3,3.17141275
32,3,2.035047004
34,3,2.099784624
36,3,1.943599425
38,3,0.719948632
40,3,2.553391324
42,3,1.745140874
44,3,2.523771201
46,3,3.332058016
48,3,1.814933014
50,3,2.354128602
52,3,1.294755944
54,3,2.008035782
56,3,1.991816459
58,3,1.387187018
60,3,3.412101376
62,3,2.101437554
64,3,1.697792144
66,3,1.07272037
68,3,1.896460345
70,3,1.59923758
72,3,2.247411824
74,3,1.851653347
76,3,2.290435341
78,3,3.172783542
80,3,1.530131423
82,3,2.036501373
84,3,0.628650031
86,3,0.96190324
88,3,2.706834686
90,3,0.74096035
92,3,0.722688918
94,3,1.343687917
96,3,2.435514536
98,3,2.579194234
100,3,2.509769933